순위,주차,교육과정,교과목,종합점수,준비성,전문성,전달력,열의성
665위,6월2주차,중견리더 과정(17주차),라탄공예,4.625,4.6667,4.6667,4.5833,4.5833
665위,6월3주차,중견리더 과정(18주차),라탄공예,4.625,4.625,4.625,4.625,4.625
665위,3월2주차,중견리더 과정(3주차),일본어,4.625,4.6667,4.6667,4.4444,4.7222
665위,3월5주차,지방의회 공무원 실무역량 향상 과정,지방의회 운영 실무 및 사례연구,4.625,4.5833,4.5833,4.6667,4.6667
665위,3월5주차,지방의회 공무원 실무역량 향상 과정,자치법규 입안 실무,4.625,4.5833,4.6667,4.5833,4.6667
665위,2월4주차,특별사법경찰 수사실무 과정,"수사실무(범죄인지, 참고인 조사 방법 등)",4.625,4.5714,4.6429,4.6429,4.6429
678위,6월1주차,중견리더 과정(16주차),행정학,4.6219,4.6056,4.6479,4.6197,4.6143
679위,3월3주차,중견리더 과정(4주차),부동산과 양도 소득세,4.6212,4.6049,4.6375,4.6173,4.625
680위,7월1주차,신규공무원 역량향상 심화 과정,인사말 작성,4.6206,4.6316,4.6842,4.6667,4.5
681위,4월4주차,시·군 팀장 리더십 과정,팀장의 보고 및 발표스킬,4.6204,4.6,4.6316,4.6,4.65
682위,3월5주차,문화유산 이해 과정,삼도수군통제영 및 세병관 탐방,4.6204,4.6667,4.5926,4.6296,4.5926
683위,2월5주차,중견리더 과정(2주차),사례로 보는 사이버 범죄 대처 요령,4.6196,4.6,4.6471,4.5765,4.6548
684위,3월4주차,인생 2모작 준비 과정,여가생활 관리,4.6194,4.6429,4.4643,4.6667,4.7037
685위,4월3주차,신규 임용(후보)자 과정(3주차),직장 내 괴롭힘 예방,4.619,4.619,4.619,4.619,4.619
686위,5월1주차,중견리더 과정(11주차),영어,4.6154,4.6154,4.6154,4.6154,4.6154
687위,5월1주차,미래설계 과정(2주차),소통을 위한 대화의 기술과 공감기법,4.6144,4.6222,4.5778,4.5909,4.6667
688위,7월1주차,신규공무원 역량향상 심화 과정,법률규정 해석,4.6143,4.619,4.619,4.619,4.6
689위,6월2주차,신규공무원 역량향상 심화 과정,보도자료 작성,4.6136,4.5758,4.6364,4.6061,4.6364
689위,4월1주차,중견리더 과정(7주차),통기타,4.6136,4.6364,4.6364,4.5455,4.6364
691위,4월3주차,신규 임용(후보)자 과정(3주차),차세대 지방재정관리 시스템,4.6131,4.619,4.5952,4.5952,4.6429
692위,3월4주차,중견리더 과정(5주차),헌법,4.613,4.5926,4.6543,4.5926,4.6125
693위,5월5주차,중견리더 과정(15주차),테니스,4.6125,4.75,4.75,4.75,4.2
694위,3월2주차,신규 임용(후보)자 과정(1주차),성과중심 공직가치 함양,4.6124,4.618,4.6067,4.618,4.6067
695위,5월1주차,7·8급 승진자 역량향상 과정,덜 지치는 직장생활,4.6121,4.5862,4.5862,4.6207,4.6552
696위,4월2주차,신규 임용(후보)자 과정(2주차),슬기로운 방첩생활,4.6113,4.6136,4.6818,4.5814,4.5682
697위,5월5주차,과장급 필수 역량향상 과정,모의과제 실습,4.6111,4.6111,4.6111,4.6667,4.5556
697위,7월2주차,미래설계 과정(1주차),취업심사 및 행위제한제도 안내,4.6111,4.5556,4.6667,4.6111,4.6111
697위,4월1주차,신규 임용(후보)자 과정(1주차),공무원 연금제도의 이해,4.6111,4.6222,4.6444,4.5111,4.6667
697위,5월3주차,중견리더 과정(13주차),분임토의,4.6111,4.6667,4.6667,4.6667,4.4444
701위,3월3주차,신규 임용(후보)자 과정(2주차),프리젠테이션과 발표,4.611,4.5422,4.6429,4.6,4.6588
702위,5월4주차,미래설계 과정(1주차),취업심사 및 행위제한제도 안내,4.61,4.6,4.56,4.64,4.64
703위,7월3주차,산림정책실무 과정,소통을 위한 대화의 기술과 공감기법,4.6094,4.5,4.5625,4.6875,4.6875
703위,6월2주차,중견리더 과정(17주차),한국사,4.6094,4.5625,4.625,4.625,4.625
703위,7월3주차,중견리더 과정(22주차),사진,4.6094,4.6563,4.5,4.625,4.6563
706위,3월4주차,토목실무 과정,감사지적 사례 및 기술감사 사례,4.6093,4.6364,4.5909,4.5909,4.619
707위,2월5주차,중견리더 과정(2주차),스피치 스킬 향상,4.6088,4.6386,4.6747,4.5122,4.6098
708위,5월4주차,중견리더 과정(14주차),필라테스,4.6087,4.6087,4.6087,4.6087,4.6087
708위,6월2주차,중견리더 과정(17주차),필라테스,4.6087,4.6087,4.6087,4.6087,4.6087
710위,5월1주차,7·8급 승진자 역량향상 과정,생성형 AI의 직무적용,4.6087,4.6207,4.6897,4.5172,4.6071
711위,5월3주차,중견리더 과정(13주차),분임토의,4.6074,4.6154,4.6154,4.6154,4.5833
712위,2월4주차,특별사법경찰 수사실무 과정,수사인권의 이해,4.6071,4.5714,4.6429,4.5714,4.6429
713위,5월3주차,신규공무원 역량향상 심화 과정,예산실무,4.6071,4.6,4.6286,4.5143,4.6857
714위,4월4주차,신규공무원 역량향상 심화 과정,보도자료 작성,4.605,4.63,4.63,4.6,4.56
715위,3월3주차,중견리더 과정(4주차),상속세 및 증여세 절세전략,4.6038,4.5926,4.6375,4.5926,4.5926
716위,4월3주차,중견리더 과정(9주차),행정학,4.6036,4.5857,4.6286,4.6,4.6
717위,4월1주차,행사 실무 과정,행사 목적 선정 및 기획,4.6031,4.5625,4.625,4.6,4.625
718위,5월1주차,중견리더 과정(11주차),일본어,4.6029,4.5882,4.6471,4.5882,4.5882
719위,6월1주차,중견리더 과정(16주차),영어,4.6023,4.5,4.6364,4.6364,4.6364
720위,5월4주차,미래설계 과정(1주차),연금제도의 이해,4.6019,4.6,4.6154,4.5769,4.6154
721위,5월3주차,재난관리 실무 과정,수질오염 재난사례 및 대응,4.6014,4.5676,4.6216,4.5946,4.6216
722위,3월4주차,신규 임용(후보)자 과정(3주차),법령체계와 법령해석 방법론,4.6006,4.5732,4.5976,4.6098,4.622
723위,5월3주차,신규공무원 역량향상 심화 과정,인사말 작성,4.6,4.6,4.6667,4.6667,4.4667
723위,7월1주차,업무용 오피스 활용 과정,AI를 활용한 PPT 제작,4.6,4.6,4.6,4.6,4.6
723위,6월4주차,재난안전 통신망 과정,소통을 위한 대화기술 및 공감기법,4.6,4.6,4.6,4.4667,4.7333
723위,6월1주차,중견리더 과정(16주차),테니스,4.6,4.6,4.6,4.6,4.6
723위,6월4주차,중견리더 과정(19주차),테니스,4.6,4.6,4.6,4.6,4.6
723위,7월2주차,중견리더 과정(21주차),영어,4.6,4.6,4.6,4.6,4.6
