교육과정,기수,교육주차,교육일자,과정유형,교육장소,교육인원,전반만족도,역량향상도,현업적용도,교과편성,강사강의 만족도,종합만족도,순위
중견리더 과정,1,2024년 12월 2주차,2024.2.19.~12.13.,기본(기본장기),인재개발원,80,4.44,4.24,4.2,4.17,4.42,4.203,156
재난관리 실무 과정,1,2024년 3월 4주차,2024.3.27.~3.29.,직무(전문),인재개발원,17,4.06,4.24,4.24,4.18,4.02,4.202,157
보조금 단체 회계실무 과정,1,2024년 4월 1주차,2024.4.1.,핵심(도민역량),인재개발원,12,4.22,4.22,4.2,4.33,4.31,4.2,158
디자인 플랫폼 활용 과정,1,2024년 5월 3주차,2024.5.17.,핵심(디지털),인재개발원,25,4.32,4.24,4.28,4.32,4.42,4.198,159
중대재해 예방 실무 과정,1,2024년 6월 4주차,2024.6.25.,직무(전문),온라인,39,4.16,4.12,4.19,4.09,4.26,4.173,160
보조금 단체 회계실무 과정,3,2024년 5월 3주차,2024.5.13.,핵심(도민역량),현장캠퍼스,33,4,4.15,4.23,3.96,4.26,4.101,161
기획능력 향상 과정,2,2024년 6월 2주차,2024.6.12.~6.14.,직무(공통),인재개발원,29,4.14,4.1,4,3.79,4.24,4.081,162
시·군 팀장 리더십 과정,6,2024년 10월 4주차,2024.10.23.~10.25.,기본(리더십),현장캠퍼스,20,4.2,4.1,4.05,3.95,4.2,4.075,163
예산회계 실무 과정,2,2024년 7월 3주차,2024.7.17.~7.19.,직무(공통),인재개발원,17,4,4.24,4.29,3.94,4.49,4.052,164
보조금 단체 회계실무 과정,5,2024년 6월 1주차,2024.6.3.,핵심(도민역량),현장캠퍼스,36,3.88,4.08,4.4,3.8,4.3,4.018,165
보조금 단체 회계실무 과정,4,2024년 5월 3주차,2024.5.14.,핵심(도민역량),인재개발원,22,3.88,3.88,3.94,3.94,4.19,3.982,166
"세대와 마음을 잇는 소통 ON, 공감 UP",1,2025년 3월 3주차,2025.3.13.~3.14.,기본(기본),현장캠퍼스,18,4.89,4.89,4.89,4.89,4.93,4.89,1
1인 방송과 영상제작 과정,1,2025년 4월 4주차,2025.4.23.~4.25.,핵심(디지털),인재개발원,29,4.93,4.89,4.86,4.93,4.95,4.88,2
