교과목,교육과정,교육주차,강사강의 만족도,순위
생활속 응급처치,제21기 중견리더 과정,2024년 5월 5주차,4.365,1622위
"호칭어, 지칭어, 경어, 인사말 등 바른 언어 예절",제1기 공공언어 바르게 쓰기 과정,2024년 7월 2주차,4.365,1622위
전자책 출판(주제선정 및 목차선정),제21기 중견리더 과정,2024년 12월 1주차,4.363636364,1626위
재난위기관리 매뉴얼 및 재난관리 협업,제5기 재난관리 실무 과정,2024년 11월 2주차,4.3625,1627위
일본어A,제21기 중견리더 과정,2024년 3월 1주차,4.3625,1628위
리더의 피드백 스킬,제21기 중견리더 과정,2024년 8월 5주차,4.3625,1628위
나만의 퍼스널 컬러 찾기,제21기 중견리더 과정,2024년 10월 3주차,4.3625,1628위
내게 맞는 이미지 메이킹,제21기 중견리더 과정,2024년 10월 3주차,4.3625,1628위
통기타,제21기 중견리더 과정,2024년 9월 1주차,4.3625,1628위
보고서 작성 실습,제5기 신규 임용(후보)자 과정,2024년 6월 2주차,4.3625,1628위
역량교육의 이해,제7기 시·군 팀장 리더십 과정,2024년 12월 2주차,4.361111111,1634위
장애인 인식 개선(장애인도 시민입니다.),제21기 중견리더 과정,2024년 11월 3주차,4.36,1635위
영어B,제21기 중견리더 과정,2024년 3월 3주차,4.36,1635위
경남의 문화콘텐츠 산업 고용현황과 전망,제2기 경남 바로 알기 과정,2024년 12월 2주차,4.36,1635위
인문학 삶을 더 높게 더 깊게,제21기 중견리더 과정,2024년 9월 1주차,4.36,1635위
사진,제21기 중견리더 과정,2024년 4월 3주차,4.36,1639위
영어A,제21기 중견리더 과정,2024년 8월 5주차,4.3575,1640위
영어A,제21기 중견리더 과정,2024년 4월 4주차,4.3575,1640위
프랑스 노르망디 인문학 여행,제21기 중견리더 과정,2024년 9월 1주차,4.3575,1640위
생동감up 현장이야기(민원응대),제10기 신규 임용(후보)자 과정,2024년 11월 2주차,4.355,1643위
SNS '좋아요&나',제21기 중견리더 과정,2024년 3월 3주차,4.355,1643위
행정법,제21기 중견리더 과정,2024년 8월 4주차,4.3525,1645위
"논리적, 분석적 창의적 사고 중심의 기획이론과 기초",제3기 기획능력 향상 과정,2024년 12월 2주차,4.35,1646위
영어A,제21기 중견리더 과정,2024년 10월 5주차,4.35,1647위
일본어A,제21기 중견리더 과정,2024년 4월 1주차,4.35,1647위
"기안문, 공고문, 보도자료 작성 실습",제1기 공공언어 바르게 쓰기 과정,2024년 7월 2주차,4.35,1647위
경남의 유래와 변천사,제21기 중견리더 과정,2024년 9월 2주차,4.35,1647위
법령체계와 법령해석 방법론,제8기 신규임용(후보)자 과정,2024년 10월 2주차,4.35,1647위
생동감up 현장이야기(민원응대),제1기 신규 임용(후보)자 과정,2024년 2월 4주차,4.35,1647위
가죽공예,제21기 중견리더 과정,2024년 10월 4주차,4.35,1647위
독서의 방법,제21기 중견리더 과정,2024년 2월 5주차,4.35,1647위
소통을 위한 대화기술 및 공감기법,제6기 재난관리 실무 과정,2024년 12월 1주차,4.348484848,1655위
국가재난시스템과 선진재난 관리기법 및 실무토론,제6기 재난관리 실무 과정,2024년 12월 1주차,4.348484848,1656위
지방보조금 관리시스템(보탬e) 활용,제3기 보조금 단체 회계실무 과정,2024년 5월 3주차,4.3475,1657위
역량개발 이해 및 과제 실습,제2기 6급 승진자 역량향상 과정,2024년 5월 4주차,4.3475,1657위
정부예산의 이해 및 국비확보 대응방안,제21기 중견리더 과정,2024년 9월 1주차,4.3475,1657위
민법,제21기 중견리더 과정,2024년 8월 3주차,4.3475,1657위
성인지와 양성평등,제21기 중견리더 과정,2024년 2월 4주차,4.3475,1657위
행정업무 운영실무,제4기 신규 임용(후보)자 과정,2024년 5월 4주차,4.345,1662위
기후위기 적응 및 대응을 위한 경남도의 역할,제1기 기후위기 적응 대응 과정,2024년 6월 3주차,4.345,1662위
일본어B,제21기 중견리더 과정,2024년 9월 1주차,4.345,1664위
생동감up 현장이야기(민원응대),제7기 신규 임용(후보)자 과정,2024년 7월 3주차,4.345,1664위
영어C,제21기 중견리더 과정,2024년 6월 2주차,4.345,1664위
영어A,제21기 중견리더 과정,2024년 3월 3주차,4.3425,1667위
소통을 위한 대화의 기술과 공감 기법,제5기 재난관리 실무 과정,2024년 11월 2주차,4.3425,1667위
보고서 작성 및 기획역량 강화,제21기 중견리더 과정,2024년 3월 1주차,4.3425,1669위
영어C,제21기 중견리더 과정,2024년 5월 2주차,4.34,1670위
인공지능 속 휴먼터치,제21기 중견리더 과정,2024년 3월 3주차,4.34,1670위
생성형 AI의 직무적용,제2기 6급 승진자 역량향상 과정,2024년 5월 4주차,4.3375,1672위
계약실무,제4기 7·8급 승진자 역량향상 과정,2024년 9월 4주차,4.3375,1672위
행정업무 운영실무,제6기 신규 임용(후보)자 과정,2024년 7월 1주차,4.3375,1672위
보고서 실무,제4기 7·8급 승진자 역량향상 과정,2024년 9월 4주차,4.3375,1672위
메타버스의 개념과 행정적용방안,제21기 중견리더 과정,2024년 11월 2주차,4.3375,1672위
통기타,제21기 중견리더 과정,2024년 6월 4주차,4.3375,1677위
행정사무감사 및 조사,제1기 지방의회 공무원 실무역량 개발 과정,2024년 2월 4주차,4.3375,1677위
"기타-수료준비활동(전시, 발표 및 기획)",제21기 중견리더 과정,2024년 12월 1주차,4.336376812,1679위
사진,제21기 중견리더 과정,2024년 5월 4주차,4.335,1680위
일본어A,제21기 중견리더 과정,2024년 3월 4주차,4.335,1681위
"호칭어, 지칭어, 경어, 인사말 등 바른 언어 예절",제2기 공공언어 바르게 쓰기 과정,2024년 11월 2주차,4.335,1681위
법령체계와 법령해석 방법론,제1기 신규 임용(후보)자 과정,2024년 3월 1주차,4.335,1683위
조화로운 일과 삶,제21기 중견리더 과정,2024년 12월 2주차,4.333401639,1684위
UAM 시장과 경남의 환경,제1기 우주항공산업과 UAM 과정,2024년 9월 1주차,4.3325,1685위
행사실무,제6기 신규공무원 역량향상 심화 과정,2024년 9월 4주차,4.3325,1686위
조직소통,제21기 중견리더 과정,2024년 3월 3주차,4.3325,1686위
타로와 인문학,제21기 중견리더 과정,2024년 6월 3주차,4.3325,1686위
조직시너지와 경쟁력 강화,제21기 중견리더 과정,2024년 8월 5주차,4.3325,1686위
영어C,제21기 중견리더 과정,2024년 5월 3주차,4.3325,1686위
영어B,제21기 중견리더 과정,2024년 3월 1주차,4.332,1691위
보조금 단체 회계감사 사례,제1기 보조금 단체 회계실무 과정,2024년 4월 1주차,4.33,1692위
기간제 근로자 노동분쟁 사례,제1기 기간제 근로자 관리자 과정,2024년 3월 1주차,4.33,1692위
보조금 실무,제1기 보조금 단체 회계실무 과정,2024년 4월 1주차,4.33,1692위
역량개발 이해 및 과제 실습,제3기 6급 승진자 역량향상 과정,2024년 9월 1주차,4.33,1692위
저수지 댐 시설물 보수보강 실무,제1기 저수지·댐 안전관리 과정,2024년 4월 4주차,4.33,1692위
인권의 이해와 행정속의 인권,제21기 중견리더 과정,2024년 12월 1주차,4.327586207,1697위
경남의 비전과 주요정책,제1기 신규 임용(후보)자 과정,2024년 2월 5주차,4.3275,1698위
생동감up 현장이야기(민원응대),제11기 신규 임용(후보)자 과정,2024년 11월 5주차,4.3275,1698위
조직의 갈등해결 상황극,제21기 중견리더 과정,2024년 11월 5주차,4.3275,1700위
영어C,제21기 중견리더 과정,2024년 4월 3주차,4.3275,1700위
블록체인 기술의 이해와 사례분석,제2기 4차 산업혁명과 AI 활용 과정,2024년 9월 4주차,4.325,1702위
기획의 이론과 실제1 -논리적&분석적 사고-,제2기 기획능력 향상 과정,2024년 6월 2주차,4.325,1702위
분임연구지도,제21기 중견리더 과정,2024년 5월 2주차,4.3225,1704위
홍보템플릿 실무,제7기 신규공무원 역량향상 심화 과정,2024년 10월 3주차,4.3225,1704위
재난안전관리 리더십,제1기 재난안전 관리자 과정,2024년 6월 4주차,4.3225,1704위
내 삶과 일을 위한 버킷리스트,제21기 중견리더 과정,2024년 12월 2주차,4.3203125,1707위
보고서 작성 및 기획역량 강화,제6기 신규 임용(후보)자 과정,2024년 6월 4주차,4.32,1708위
시민재해분야 법적 의무사항 안내,제1기 중대재해예방 실무 과정,2024년 6월 4주차,4.32,1709위
일본어A,제21기 중견리더 과정,2024년 4월 4주차,4.3175,1710위
온나라 시스템,제5기 신규 임용(후보)자 과정,2024년 6월 2주차,4.3175,1710위
경남관광산업 활성화 방안,제21기 중견리더 과정,2024년 5월 3주차,4.3175,1710위
"가죽공예-수료준비활동(전시, 발표 및 기획)",제21기 중견리더 과정,2024년 12월 1주차,4.316666667,1713위
행정법,제21기 중견리더 과정,2024년 9월 2주차,4.315,1714위
"국토계획법, 지방계약법의 이해",제1기 토목실무 과정,2024년 5월 2주차,4.315,1714위
영어A,제21기 중견리더 과정,2024년 4월 2주차,4.315,1714위
경남의 일자리 현황,제21기 중견리더 과정,2024년 3월 4주차,4.315,1714위
법령체계와 법령해석 방법론,제5기 신규 임용(후보)자 과정,2024년 6월 3주차,4.315,1714위
통기타,제21기 중견리더 과정,2024년 10월 3주차,4.315,1714위
일본문화 및 사회의 이해,제21기 중견리더 과정,2024년 6월 3주차,4.315,1714위
행정법,제21기 중견리더 과정,2024년 9월 3주차,4.3125,1721위
공사감독 및 현장점검 요령,제2기 신규공무원 역량향상 심화 과정,2024년 4월 3주차,4.3125,1721위
지방보조금 실무,제1기 예산회계실무 과정,2024년 3월 3주차,4.3125,1721위
사례중심의 안전관리 체계의 이해 및 교훈,제6기 재난관리 실무 과정,2024년 12월 1주차,4.310606061,1724위
비폭력 대화기법,제21기 중견리더 과정,2024년 12월 2주차,4.310344828,1725위
경남의 항노화와 약초,제21기 중견리더 과정,2024년 4월 1주차,4.31,1726위
공무원 노사관계의 이해,제6기 신규 임용(후보)자 과정,2024년 6월 4주차,4.31,1726위
경남의 트라이포트 구축방향,제21기 중견리더 과정,2024년 2월 4주차,4.31,1726위
산업용드론 활용교육,제1기 우주항공산업과 UAM 과정,2024년 9월 1주차,4.31,1726위
자치법규 입안 실무,제1기 지방의회 공무원 실무역량 개발 과정,2024년 2월 4주차,4.31,1726위
행정업무 운영실무,제1기 신규 임용(후보)자 과정,2024년 2월 5주차,4.31,1731위
역량개발 이해 및 실습(집단토론),제3기 6급 승진자 역량향상 과정,2024년 9월 1주차,4.3075,1732위
5G 이동통신 기술의 이해와 사례분석,제2기 4차 산업혁명과 AI 활용 과정,2024년 9월 4주차,4.3075,1733위
직장내 괴롭힘,제21기 중견리더 과정,2024년 3월 3주차,4.3075,1733위
가죽공예,제21기 중견리더 과정,2024년 4월 2주차,4.3075,1733위
중대재해처벌법의 이해,제6기 재난관리 실무 과정,2024년 12월 1주차,4.305397727,1736위
행정법,제21기 중견리더 과정,2024년 9월 1주차,4.305,1737위
행정법,제21기 중견리더 과정,2024년 10월 2주차,4.305,1737위
e-호조 지출·회계실무,제5기 신규공무원 역량향상 심화 과정,2024년 7월 3주차,4.305,1737위
경남의 비전과 주요정책,제6기 신규 임용(후보)자 과정,2024년 7월 1주차,4.305,1737위
경남의 교육발전 특구 및 대학지원 체계(RISE 추진방향),제21기 중견리더 과정,2024년 7월 2주차,4.305,1737위
2024 버킷리스트 그리고..,제21기 중견리더 과정,2024년 12월 2주차,4.304927885,1742위
통기타,제21기 중견리더 과정,2024년 8월 5주차,4.3025,1743위
시민재해분야 법령 해석 및 사례 분석,제1기 중대재해예방 실무 과정,2024년 6월 4주차,4.3025,1744위
교류분석(TA),제21기 중견리더 과정,2024년 12월 2주차,4.300847458,1745위
영어A,제21기 중견리더 과정,2024년 8월 3주차,4.3,1746위
통기타,제21기 중견리더 과정,2024년 8월 3주차,4.3,1746위
바람직한 공직관 실천,제6기 신규 임용(후보)자 과정,2024년 6월 4주차,4.3,1746위
영어C,제21기 중견리더 과정,2024년 5월 1주차,4.3,1746위
지방보조금 관리시스템(보탬e) 활용,제4기 보조금 단체 회계실무 과정,2024년 5월 3주차,4.2975,1750위
가슴 뭉클한 삶을 살자,제21기 중견리더 과정,2024년 7월 3주차,4.295,1751위
캔들만들기,제3기 미래설계 과정,2024년 9월 1주차,4.295,1751위
공무원 노조의 이해 및 역할,제21기 중견리더 과정,2024년 4월 2주차,4.295,1751위
온나라시스템,제7기 신규 임용(후보)자 과정,2024년 7월 3주차,4.2925,1754위
저수지 댐 안전관리 및 재해예방 법령해설,제1기 저수지·댐 안전관리 과정,2024년 4월 4주차,4.2925,1755위
공사감독 및 현장점검 요령,제6기 신규공무원 역량향상 심화 과정,2024년 9월 4주차,4.2925,1755위
통기타,제21기 중견리더 과정,2024년 7월 2주차,4.2925,1755위
"외래어, 외국어, 한자어 우리말 다듬기",제2기 공공언어 바르게 쓰기 과정,2024년 11월 2주차,4.2925,1755위
정리수납,제21기 중견리더 과정,2024년 3월 4주차,4.29,1759위
스마트시티의 이해,제21기 중견리더 과정,2024년 9월 2주차,4.2875,1760위
영어C,제21기 중견리더 과정,2024년 3월 3주차,4.2875,1760위
카드뉴스와 SNS 홍보전략,제1기 홍보 실무 과정,2024년 5월 4주차,4.285,1762위
행정업무 운영실무,제2기 신규 임용(후보)자 과정,2024년 3월 4주차,4.285,1762위
지속가능 발전목표(SDGs)와 지속가능발전 거버넌스,제21기 중견리더 과정,2024년 10월 3주차,4.285,1762위
기후 위기와 탄소중립의 이해,제1기 기후위기 적응 대응 과정,2024년 6월 3주차,4.285,1762위
민법,제21기 중견리더 과정,2024년 8월 5주차,4.285,1762위
영어A,제21기 중견리더 과정,2024년 9월 2주차,4.2825,1767위
일본어A,제21기 중견리더 과정,2024년 4월 2주차,4.2825,1767위
홍보템플릿 실무,제5기 신규공무원 역량향상 심화 과정,2024년 7월 3주차,4.2825,1767위
법령체계와 법령해석 방법론,제2기 신규 임용(후보)자 과정,2024년 4월 1주차,4.2825,1767위
개인정보보호 안정성 확보조치,제21기 중견리더 과정,2024년 10월 2주차,4.2825,1767위
우수사례 발표 및 토론,제1기 재난안전 관리자 과정,2024년 6월 4주차,4.28,1772위
통계포털 이용 및 직무적용,제1기 7·8급 승진자 역량향상 과정,2024년 3월 2주차,4.2775,1773위
문학의 거장 박경리,제21기 중견리더 과정,2024년 9월 2주차,4.275,1774위
소통을 위한 대화의 기술 공감기법,제2기 6급 승진자 역량향상 과정,2024년 5월 4주차,4.275,1775위
기타-전시회 및 발표회 준비(동아리교과),제21기 중견리더 과정,2024년 12월 1주차,4.272727273,1776위
회계실무,제2기 신규 임용(후보)자 과정,2024년 3월 4주차,4.27,1777위
관광산업홍보와 마케팅 기법 적용,제1기 지역특화 관광 콘텐츠 개발 과정,2024년 4월 4주차,4.27,1777위
한글 어문규정 맞춤법 및 바른 어휘 쓰기,제2기 공공언어 바르게 쓰기 과정,2024년 11월 2주차,4.27,1777위
통기타,제21기 중견리더 과정,2024년 5월 1주차,4.27,1777위
통기타,제21기 중견리더 과정,2024년 5월 3주차,4.27,1777위
통기타,제21기 중견리더 과정,2024년 6월 1주차,4.27,1777위
통계포털 이용 및 직무적용,제1기 7·8급 승진자 역량향상 과정,2024년 3월 2주차,4.27,1777위
보도자료 작성,제5기 신규공무원 역량향상 심화 과정,2024년 7월 3주차,4.2675,1784위
[모의과제 실습] 구두발표,제1기 시·군 팀장 리더십 과정,2024년 3월 1주차,4.2675,1784위
통계포털 이용 및 직무적용,제1기 7·8급 승진자 역량향상 과정,2024년 3월 2주차,4.2675,1786위
최근 한반도 정세와 북한,제21기 중견리더 과정,2024년 9월 2주차,4.265,1787위
일본어A,제21기 중견리더 과정,2024년 3월 3주차,4.265,1788위
언론 대응 및 보고 능력 향상,제3기 6급 승진자 역량향상 과정,2024년 9월 1주차,4.265,1788위
지방 보조금 관리시스템(보탬e) 활용,제1기 보조금 단체 회계실무 과정,2024년 4월 1주차,4.26,1790위
경남의 레저 스포츠 전망과 발전방안,제21기 중견리더 과정,2024년 10월 4주차,4.2575,1791위
우리궁궐 인문학 여행,제21기 중견리더 과정,2024년 5월 2주차,4.255,1792위
통기타,제21기 중견리더 과정,2024년 6월 2주차,4.255,1792위
통기타,제21기 중견리더 과정,2024년 7월 3주차,4.255,1792위
회계실무,제6기 신규 임용(후보)자 과정,2024년 7월 1주차,4.2525,1795위
사진,제21기 중견리더 과정,2024년 4월 2주차,4.2525,1796위
취업심사 및 행위제한제도 안내,제3기 미래설계 과정,2024년 9월 1주차,4.2525,1796위
법률(규정)해석,제5기 신규공무원 역량향상 심화 과정,2024년 7월 3주차,4.2525,1796위
일본어A,제21기 중견리더 과정,2024년 4월 3주차,4.25,1799위
온나라시스템,제1기 신규 임용(후보)자 과정,2024년 2월 5주차,4.25,1799위
한국사,제21기 중견리더 과정,2024년 3월 2주차,4.25,1799위
경남 관광산업 현황 및 발전방안 ,제1기 시·군 팀장 리더십 과정,2024년 3월 1주차,4.25,1799위
분임연구지도,제21기 중견리더 과정,2024년 5월 2주차,4.25,1799위
역량개발 이해 및 실습(집단토론),제2기 6급 승진자 역량향상 과정,2024년 5월 4주차,4.2475,1804위
국가 재난관리 체계의 이해,제6기 재난관리 실무 과정,2024년 12월 1주차,4.242424242,1805위
하이브리드 시대의 변화전략,제21기 중견리더 과정,2024년 10월 4주차,4.24,1806위
영어C,제21기 중견리더 과정,2024년 4월 4주차,4.24,1806위
역량개발 이해 및 과제 실습,제1기 6급 승진자 역량향상 과정,2024년 3월 4주차,4.2375,1808위
대한민국의 미래는 적극행정 실천으로,제21기 중견리더 과정,2024년 6월 3주차,4.2375,1808위
일본어A,제21기 중견리더 과정,2024년 5월 1주차,4.235,1810위
경남 관광산업 현황 및 발전방안 ,제6기 시·군 팀장 리더십 과정,2024년 10월 4주차,4.235,1810위
계약실무,제5기 신규공무원 역량향상 심화 과정,2024년 7월 3주차,4.235,1810위
공공언어의 개념 및 특성,제21기 중견리더 과정,2024년 3월 1주차,4.2325,1813위
다문화 사회와 문화 다양성,제21기 중견리더 과정,2024년 4월 1주차,4.2325,1813위
생동감up 현장이야기(민원응대),제6기 신규 임용(후보)자 과정,2024년 6월 4주차,4.2325,1813위
영어C,제21기 중견리더 과정,2024년 3월 2주차,4.2325,1813위
통기타,제21기 중견리더 과정,2024년 4월 3주차,4.23,1817위
우주항공산업과 경남의 미래,제21기 중견리더 과정,2024년 3월 4주차,4.2275,1818위
유럽에서 아시아를 만나다,제21기 중견리더 과정,2024년 5월 2주차,4.2275,1818위
통기타,제21기 중견리더 과정,2024년 11월 2주차,4.225,1820위
가죽공예,제21기 중견리더 과정,2024년 11월 5주차,4.225,1820위
영어A,제21기 중견리더 과정,2024년 4월 1주차,4.2225,1822위
영어B,제21기 중견리더 과정,2024년 3월 2주차,4.22,1823위
산업재해분야 법령 해석 및 사례 분석,제1기 중대재해예방 실무 과정,2024년 6월 4주차,4.22,1823위
현장학습(도정과제 연계),제1기 신규 임용(후보)자 과정,2024년 2월 5주차,4.22,1823위
영어A,제21기 중견리더 과정,2024년 10월 2주차,4.2175,1826위
국가균형발전 정책의 이해,제21기 중견리더 과정,2024년 8월 4주차,4.2175,1826위
가죽공예,제21기 중견리더 과정,2024년 9월 2주차,4.2175,1826위
영어C,제21기 중견리더 과정,2024년 3월 4주차,4.2175,1826위
사례중심의 안전관리 체계의 이해 및 교훈,제5기 재난관리 실무 과정,2024년 11월 2주차,4.2175,1830위
2024년 도정운영방향,제21기 중견리더 과정,2024년 4월 2주차,4.215,1831위
"갈등관리, 화합의 기술",제21기 중견리더 과정,2024년 10월 4주차,4.215,1831위
바른 문장 쓰는 법,제21기 중견리더 과정,2024년 3월 1주차,4.2125,1833위
적극행정을 통한 공직혁신,제21기 중견리더 과정,2024년 4월 3주차,4.21,1834위
행정법,제21기 중견리더 과정,2024년 8월 3주차,4.21,1835위
언론 대응 및 보고 능력 향상,제1기 6급 승진자 역량향상 과정,2024년 3월 4주차,4.21,1835위
공무원연금제도의 이해,제4기 미래설계 과정,2024년 11월 3주차,4.2075,1837위
직장예절,제21기 중견리더 과정,2024년 3월 3주차,4.2075,1838위
국가재난관리 정책방향과 위기관리,제21기 중견리더 과정,2024년 3월 3주차,4.2075,1838위
"보고서 작성(행사보고서, 업무보고)",제1기 7·8급 승진자 역량향상 과정,2024년 3월 2주차,4.2075,1838위
도시재생과 사회혁신 실행모델,제21기 중견리더 과정,2024년 6월 4주차,4.205,1841위
국가균형발전 우수사례 및 균형발전 사례,제1기 인구소멸 대응과 지역균형 발전 과정,2024년 10월 2주차,4.2025,1842위
영어A,제21기 중견리더 과정,2024년 11월 2주차,4.2,1843위
e-호조 지출·회계 실무,제3기 신규공무원 역량향상 심화 과정,2024년 5월 2주차,4.2,1843위
보조금 실무,제5기 신규공무원 역량향상 심화 과정,2024년 7월 3주차,4.2,1843위
트라이포트 연계 문화관광지 조성,제21기 중견리더 과정,2024년 10월 3주차,4.1975,1846위
저출산 대응 방안,제21기 중견리더 과정,2024년 5월 1주차,4.195,1847위
행정업무 운영실무,제10기 신규 임용(후보)자 과정,2024년 11월 3주차,4.1925,1848위
이집트 역사로 보는 인문학,제21기 중견리더 과정,2024년 6월 3주차,4.1925,1848위
행정법,제21기 중견리더 과정,2024년 8월 5주차,4.1925,1850위
공무원 연금제도의 이해,제21기 중견리더 과정,2024년 3월 3주차,4.1925,1850위
경남 도심항공모빌리티(UAM) 육성,제21기 중견리더 과정,2024년 6월 1주차,4.1925,1850위
산업재해분야 법적 의무사항 안내,제1기 중대재해예방 실무 과정,2024년 6월 4주차,4.19,1853위
지방정부 국제교류협력,제21기 중견리더 과정,2024년 6월 4주차,4.1875,1854위
경남의 전통문화 이해,제2기 문화유산이해 과정,2024년 4월 4주차,4.185,1855위
역량교육의 이해,제4기 시·군 팀장 리더십 과정,2024년 5월 4주차,4.1825,1856위
아랍 이슬람 문화의 이해,제21기 중견리더 과정,2024년 5월 4주차,4.1825,1857위
우주항공산업과 경남의 미래,제4기 시·군 팀장 리더십 과정,2024년 5월 4주차,4.18,1858위
영어A,제21기 중견리더 과정,2024년 8월 4주차,4.1775,1859위
영어A,제21기 중견리더 과정,2024년 10월 4주차,4.1775,1859위
보조금 실무,제3기 보조금 단체 회계실무 과정,2024년 5월 3주차,4.175,1861위
분임연구지도,제21기 중견리더 과정,2024년 5월 2주차,4.17,1862위
통기타,제21기 중견리더 과정,2024년 4월 4주차,4.17,1862위
통기타,제21기 중견리더 과정,2024년 5월 2주차,4.17,1862위
회계실무,제4기 신규 임용(후보)자 과정,2024년 5월 4주차,4.17,1862위
지속가능발전 목표 실행을 위한 분임토의,제1기 지속가능발전 목표 이행 과정,2024년 5월 5주차,4.17,1862위
국가재난시스템과 선진재난 관리메뉴얼,제21기 중견리더 과정,2024년 3월 3주차,4.1675,1867위
북한의 대남 전략,제21기 중견리더 과정,2024년 12월 2주차,4.165710383,1868위
온실가스감축인지 예산제도,제21기 중견리더 과정,2024년 9월 2주차,4.165,1869위
실무를 위한 SNS 트렌드,제21기 중견리더 과정,2024년 3월 1주차,4.1625,1870위
가죽공예,제21기 중견리더 과정,2024년 3월 4주차,4.16,1871위
역량개발 교육,제21기 중견리더 과정,2024년 4월 4주차,4.155,1872위
경남의 섬 발전방안,제21기 중견리더 과정,2024년 3월 2주차,4.155,1872위
한국사,제21기 중견리더 과정,2024년 4월 3주차,4.155,1874위
기획의 이론과 실제1 -논리적&분석적 사고-,제1기 기획능력향상 과정,2024년 3월 4주차,4.15,1875위
기획의 이론과 실제1 -창의적 사고-,제1기 기획능력향상 과정,2024년 3월 4주차,4.15,1876위
계측이론 실무 및 평가,제1기 저수지·댐 안전관리 과정,2024년 4월 4주차,4.145,1877위
생성형 AI의 직무적용,제1기 6급 승진자 역량향상 과정,2024년 3월 4주차,4.14,1878위
행사실무,제8기 신규공무원 역량향상 심화 과정,2024년 11월 2주차,4.1375,1879위
국가재난시스템과 선진재난 관리기법 및 재난관리 실무토론,제1기 재난관리 실무 과정,2024년 3월 4주차,4.135,1880위
재난관리체계의 이해,제1기 재난관리 실무 과정,2024년 3월 4주차,4.135,1881위
중간리더의 역할,제21기 중견리더 과정,2024년 5월 4주차,4.1275,1882위
재난 위기관리 매뉴얼 및 재난관리 협업,제21기 중견리더 과정,2024년 3월 4주차,4.125,1883위
재난관리체계의 이해,제21기 중견리더 과정,2024년 3월 4주차,4.1225,1884위
[모의과제 실습] 구두발표,제4기 시·군 팀장 리더십 과정,2024년 5월 4주차,4.12,1885위
한국사,제21기 중견리더 과정,2024년 4월 1주차,4.1175,1886위
역량교육의 이해,제1기 시·군 팀장 리더십 과정,2024년 3월 1주차,4.115,1887위
회계실무,제1기 신규 임용(후보)자 과정,2024년 2월 4주차,4.11,1888위
한국사,제21기 중견리더 과정,2024년 8월 5주차,4.11,1888위
한국사,제21기 중견리더 과정,2024년 6월 4주차,4.11,1890위
통기타,제21기 중견리더 과정,2024년 6월 3주차,4.105,1891위
중대재해처벌법의 이해,제21기 중견리더 과정,2024년 2월 4주차,4.105,1892위
대화유형 이해,제21기 중견리더 과정,2024년 3월 2주차,4.1025,1893위
미국현대 사회와 문화의 이해,제21기 중견리더 과정,2024년 9월 3주차,4.0975,1894위
스트레스 진단과 치유,제21기 중견리더 과정,2024년 5월 3주차,4.0925,1895위
역량개발 교육,제21기 중견리더 과정,2024년 4월 4주차,4.09,1896위
성별영향평가 우수사례를 통한 제도 이해,제21기 중견리더 과정,2024년 9월 2주차,4.0875,1897위
조직개발과 변화관리,제21기 중견리더 과정,2024년 5월 4주차,4.0875,1898위
인문학으로 보는 와인,제21기 중견리더 과정,2024년 4월 1주차,4.0875,1898위
보조금 실무,보조금 단체 회계실무 과정,2024년 6월 1주차,4.085,1900위
영어A,제21기 중견리더 과정,2024년 11월 5주차,4.0825,1901위
보조금 실무,제4기 보조금 단체 회계실무 과정,2024년 5월 3주차,4.0825,1901위
역량개발교육 이론,제21기 중견리더 과정,2024년 4월 3주차,4.08,1903위
영어A,제21기 중견리더 과정,2024년 10월 3주차,4.075,1904위
리더의 대화법,제21기 중견리더 과정,2024년 3월 2주차,4.075,1904위
영어A,제21기 중견리더 과정,2024년 12월 1주차,4.071428571,1906위
인문학: 그림으로 읽는 철학,제21기 중견리더 과정,2024년 4월 4주차,4.0625,1907위
한국사,제21기 중견리더 과정,2024년 3월 3주차,4.06,1908위
기후위기 적응 및 대응을 위한 실천방안,제1기 기후위기 적응 대응 과정,2024년 6월 3주차,4.06,1909위
통기타,제21기 중견리더 과정,2024년 4월 2주차,4.05,1910위
라틴아메리카 도시와 문화,제21기 중견리더 과정,2024년 7월 1주차,4.05,1910위
통기타,제21기 중견리더 과정,2024년 4월 1주차,4.045,1912위
한국복식의 이해,제21기 중견리더 과정,2024년 4월 2주차,4.0425,1913위
자치경찰 제도의 이해,제21기 중견리더 과정,2024년 5월 4주차,4.0375,1914위
투자유치 법령 및 제도 이해,제21기 중견리더 과정,2024년 4월 2주차,4.03,1915위
영화로 배우는 인문학,제21기 중견리더 과정,2024년 5월 1주차,4.03,1916위
역량개발 교육,제21기 중견리더 과정,2024년 4월 4주차,4.025,1917위
역량개발 교육,제21기 중견리더 과정,2024년 4월 4주차,4.015,1918위
항노화의 이해,제2기 항노화산업 탐방 과정,2024년 10월 3주차,4.0125,1919위
행정업무 운영실무,제9기 신규임용(후보)자 과정,2024년 10월 4주차,4.01,1920위
빅데이터 행정 적용사례,제21기 중견리더 과정,2024년 5월 5주차,4.005,1921위
영어A,제21기 중견리더 과정,2024년 11월 3주차,4,1922위
기획보고서 작성 실무,제2기 6급 승진자 역량향상 과정,2024년 5월 4주차,4,1922위
지방자치제도 및 지방의회 역할,제1기 지방의회 공무원 실무역량 개발 과정,2024년 2월 4주차,4,1922위
언론 대응 및 보고 능력 향상,제2기 6급 승진자 역량향상 과정,2024년 5월 4주차,4,1922위
