교과목,교육과정,교육주차,강사강의 만족도,순위
헌법,제21기 중견리더 과정,2024년 7월 2주차,4.76,312위
인포그래픽과 파워포인트 기본,제1기 인포그래픽 활용 과정,2024년 12월 1주차,4.758928571,318위
이미지와 아이콘 활용한 인포그래픽,제1기 인포그래픽 활용 과정,2024년 12월 1주차,4.758928571,318위
인문학 콘서트,제4기 미래설계 과정,2024년 11월 4주차,4.7575,320위
근육이완을 위한 스트레칭,제1기 지리산 천왕봉 힐링 과정,2024년 5월 2주차,4.755,321위
모의과제(서류함기법),제2기 과장급 필수 역량향상 과정,2024년 7월 2주차,4.7525,322위
이해충돌방지법 이해,제2기 과장급 필수 역량향상 과정,2024년 7월 2주차,4.7525,322위
DVDM활동,제2기 5급 관리자 리더십 과정,2024년 8월 5주차,4.7525,322위
경남형 자치경찰 정책의 성과와 과제,제1기 자치경찰제도 이해 과정,2024년 4월 1주차,4.7525,322위
정수처리 과정의 이해,제1기 정수장 관리 실무 과정,2024년 10월 2주차,4.7525,322위
라탄공예,제21기 중견리더 과정,2024년 5월 3주차,4.75,327위
탄소중립 사업의 개괄,제2기 기후위기 적응·대응 과정,2024년 10월 4주차,4.75,327위
탄소중립의 경제영향,제2기 기후위기 적응·대응 과정,2024년 10월 4주차,4.75,327위
수사실무 -압수수색-,제1기 특별사법경찰 실무 과정,2024년 2월 4주차,4.75,327위
행정학,제21기 중견리더 과정,2024년 2월 4주차,4.75,327위
일본어B,제21기 중견리더 과정,2024년 10월 3주차,4.75,327위
신임팀장 비전 만들기,제7기 시·군 팀장 리더십 과정,2024년 12월 2주차,4.75,327위
댄스스포츠,제21기 중견리더 과정,2024년 9월 1주차,4.75,327위
엑셀실무,제1기 신규공무원 역량향상 심화 과정,2024년 3월 2주차,4.75,327위
동영상 편집 앱을 이용한 영상 편집,제3기 스마트기기 활용 과정,2024년 10월 5주차,4.75,327위
실태조사 사전준비 및 현장조사 방법,제4기 재난관리 실무 과정,2024년 9월 4주차,4.75,327위
ERRC기업 활동,제2기 5급 관리자 리더십 과정,2024년 8월 5주차,4.75,327위
조직 내·외 갈등해결 및 효율적 관리,제1기 과장급 필수 역량향상 과정,2024년 4월 1주차,4.75,327위
소통을 위한 대화기술 및 공감기법,제3기 재난관리 실무 과정,2024년 7월 1주차,4.75,327위
프리젠테이션과 보고 브리핑,제4기 시·군 팀장 역량향상 과정,2024년 10월 5주차,4.75,327위
사례중심의 안전관리 체계의 이해 및 교훈,제3기 재난관리 실무 과정,2024년 7월 1주차,4.75,327위
역량교육을 위한 마음열기,제3기 시·군 팀장 역량향상 과정,2024년 11월 2주차,4.7475,343위
클라우드 서비스를 활용한 데이터 관리,제3기 스마트기기 활용 과정,2024년 10월 5주차,4.7475,344위
문화콘텐츠 산업 고용현황과 전망,제1기 경남 일자리 과정,2024년 7월 2주차,4.7475,344위
역할수행 및 토론,제3기 시·군 팀장 역량향상 과정,2024년 11월 2주차,4.7475,344위
스마트폰 제대로 찍기,제2기 미래 설계 과정,2024년 6월 3주차,4.7475,344위
"보고서 작성(행사보고서, 업무보고)",제2기 7·8급 승진자 역량향상  과정,2024년 4월 3주차,4.7475,344위
영어C,제21기 중견리더 과정,2024년 11월 2주차,4.7475,344위
팀장의 역할 공감,제7기 시·군 팀장 리더십 과정,2024년 12월 2주차,4.745915033,350위
댄스스포츠,제21기 중견리더 과정,2024년 8월 5주차,4.745,351위
"실용함수, 차트 작성, 정렬·필터",제1기 엑셀 활용(초급) 과정,2024년 3월 3주차,4.7425,352위
차트로 데이터를 시각화한 인포그래픽,제1기 인포그래픽 활용 과정,2024년 12월 1주차,4.740740741,353위
사진,제21기 중견리더 과정,2024년 7월 2주차,4.74,354위
행정학,제21기 중견리더 과정,2024년 5월 4주차,4.74,354위
한글실무,제1기 신규공무원 역량향상 심화 과정,2024년 3월 2주차,4.74,354위
"데이터 입력, 편집, 셀서식 정리",제1기 엑셀 활용(초급) 과정,2024년 3월 3주차,4.74,354위
엑셀실무,제8기 신규공무원 역량향상 심화 과정,2024년 11월 2주차,4.74,354위
갈등 해결 및 성과 창출 리더십,제4기 시·군 팀장 리더십 과정,2024년 5월 4주차,4.74,354위
건강관리 노하우,제1기 인생 2모작 준비 과정,2024년 7월 3주차,4.74,354위
기타소득,제1기 지방세 실무 과정,2024년 2월 5주차,4.7375,361위
조직문화 개선 및 역할변화 강점 찾기,제2기 5급 관리자 리더십 과정,2024년 8월 5주차,4.7375,362위
팀장역할에 대한 기대/바람 vs 걱정/염려나누기,제2기 5급 관리자 리더십 과정,2024년 8월 5주차,4.7375,362위
리더십유형 진단 및 유형별 특징파악,제2기 5급 관리자 리더십 과정,2024년 8월 5주차,4.7375,362위
OKR의 이해를 통한 목표설정,제2기 5급 관리자 리더십 과정,2024년 8월 5주차,4.7375,362위
성과향상을 위한 피드백 스킬,제2기 5급 관리자 리더십 과정,2024년 8월 5주차,4.7375,362위
언론매체 인터뷰 실습,제3기 명품 스피치 과정,2024년 12월 3주차,4.736842105,367위
갈등해결 및 성과창출 리더십,제7기 시·군 팀장 리더십 과정,2024년 12월 2주차,4.736111111,368위
"사진-수료준비활동(전시, 발표 및 기획)",제21기 중견리더 과정,2024년 12월 1주차,4.735555556,369위
소통을 위한 대화기술 및 공감기법,제2기 시·군 팀장 리더십 과정,2024년 4월 1주차,4.735,370위
소통을 위한 대화기술 및 공감기법,제5기 시·군 팀장 리더십 과정,2024년 7월 4주차,4.735,370위
한글 실무,제7기 신규공무원 역량향상 심화 과정,2024년 10월 3주차,4.735,372위
보고서 작성 기법 및 실습,제1기 기획능력향상 과정,2024년 3월 4주차,4.7325,373위
행정학,제21기 중견리더 과정,2024년 5월 5주차,4.7325,373위
도형을 이용한 도해화한 인포그래픽,제1기 인포그래픽 활용 과정,2024년 12월 1주차,4.731481481,375위
중국어,제21기 중견리더 과정,2024년 6월 1주차,4.73,376위
보도자료 작성 및 언론인터뷰,제1기 홍보 실무 과정,2024년 5월 4주차,4.73,376위
승강기 부품 및 승강기 안전인증의 이해 실습,제4기 재난관리 실무 과정,2024년 9월 4주차,4.73,376위
QR코드를 이용한 이용자 구조,제4기 재난관리 실무 과정,2024년 9월 4주차,4.73,376위
사진,제21기 중견리더 과정,2024년 10월 3주차,4.73,376위
경남 산림정책 방향과 미래,제1기 산림정책 실무 과정,2024년 7월 3주차,4.73,376위
영어C,제21기 중견리더 과정,2024년 10월 5주차,4.73,376위
의정활동 홍보전략 및 주민소통,제2기 지방의회 공무원 실무역량 향상 과정,2024년 8월 5주차,4.73,383위
파워포인트 실습1,제2기 파워포인트 활용 과정,2024년 10월 4주차,4.73,383위
행정학,제21기 중견리더 과정,2024년 7월 1주차,4.7275,385위
바람직한 공직관 실천,제4기 신규 임용(후보)자 과정,2024년 5월 4주차,4.7275,385위
정리수납,제21기 중견리더 과정,2024년 7월 2주차,4.725,387위
바람직한 공직관 실천,제5기 신규 임용(후보)자 과정,2024년 6월 1주차,4.725,387위
행사 목적 선정 및 기획,제1기 행사실무 과정,2024년 4월 1주차,4.725,389위
행정학,제21기 중견리더 과정,2024년 4월 1주차,4.725,389위
생성형인공지능업무활용방법,제21기 중견리더 과정,2024년 8월 4주차,4.725,389위
소통을 위한 대화의 기술과 공감 기법,제4기 재난관리 실무 과정,2024년 9월 4주차,4.725,389위
퇴직전후 맞춤 재테크,제1기 미래설계 과정,2024년 3월 3주차,4.725,389위
2024년 지역 부동산 전망,제2기 미래 설계 과정,2024년 6월 3주차,4.725,389위
우리 함께 어울림2,제8기 소통과 공감 과정,2024년 10월 4주차,4.725,389위
녹조등 정수장 수질사고 대응 방안,제1기 정수장 관리 실무 과정,2024년 10월 2주차,4.725,389위
목소리 진단 실습,제3기 명품 스피치 과정,2024년 12월 3주차,4.723684211,397위
지방소멸 실태와 정책기초,제2기 7·8급 승진자 역량향상  과정,2024년 4월 3주차,4.7225,398위
